,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_8_TEXT,Q2,Q3,Q4,Q4_6_TEXT,Q5,Q5_7_TEXT,Q6,Q6_6_TEXT,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q16_9_TEXT,Q17,Q18,Q19,Q19_12_TEXT,Q20,Q21,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Any Questions? ,Q3 - Topics,Q3 - Parent Topics,Q3 - Topic Hierarchy Level 1
1,2024-10-28 05:52:43,2024-10-28 06:18:46,IP Address,195.176.113.108,100,1563,True,2024-10-28 06:18:47.196000,R_2Hzv2Bbu2E24FjY,,,,,47.3857,8.5348,anonymous,EN,Asia,,Female,,PhD,,"Sciences (Biology, Chemistry, Physics)",,Atheists,,Urban / City,1,"mRNA (e.g., Pfizer, Moderna)",No,Very important,"Yes, I believe they are generally safe",4,"yes, positive before vaccination","Yes, fully vaccinated",,,,,,,Somewhat disagree,Strongly willing,1,3,2,4,5,6,7,8,,,,
2,2024-10-28 12:16:51,2024-10-28 12:19:06,IP Address,83.78.24.63,100,135,True,2024-10-28 12:19:07.207000,R_2m7XOE3XLdRT7tT,,,,,47.4197,8.5139,anonymous,EN,Europe,,Male,,Bachelor's Degree,,"Sciences (Biology, Chemistry, Physics)",,Atheists,,Suburban / Town,1,"mRNA (e.g., Pfizer, Moderna),Viral vector (e.g., AstraZeneca, Johnson & Johnson),Inactivated virus (e.g., Sinovac, Sinopharm),Not sure",No,Slightly important,It depends on the vaccine,1,"yes, positive before vaccination","No, not vaccinated",,,,,"Concerns about how quickly the vaccine was developed.,Concerns about potential side effects.,Low trust in pharmaceutical companies or government officials.,I did not feel I was at high risk of severe illness from COVID-19.,I wanted to wait for more research on long-term effects.",,Somewhat agree,Somewhat unwilling,2,3,4,5,1,6,7,8,,,,
3,2024-10-28 13:10:35,2024-10-28 13:28:19,IP Address,178.196.39.237,100,1064,True,2024-10-28 13:28:20.415000,R_8MlH0popDOF1B1A,,,,,47.3433,8.5394,anonymous,EN,Europe,,Male,,PhD,,Other,,Other,,Suburban / Town,1,Not sure,No,Very important,Definitely yes,3,"yes, positive before vaccination","Yes, fully vaccinated","Most people around me were getting vaccinated.,I live with or regularly interact with people in high-risk groups.",,immediatly,4,,,Strongly disagree,Strongly willing,1,3,2,4,5,6,7,8,,,,
4,2024-10-28 04:53:25,2024-10-28 06:39:30,IP Address,195.176.112.251,64,6364,False,2024-11-04 05:39:34.368000,R_2ocoOoIJXDKcugk,,,,,,,anonymous,EN,Africa,,Female,,Some College,,"Sciences (Biology, Chemistry, Physics)",,Atheists,,Urban / City,Oceania,Not sure,Prefer not say,Extremely important,"No, I believe they are generally unsafe",4,Never tested positive,"No, not vaccinated",,,,,,,,,,,,,,,,,,Unknown,,
5,2024-10-28 07:34:51,2024-10-28 07:36:50,IP Address,195.176.112.136,80,119,False,2024-11-04 06:36:56.086000,R_8PHzABWf82rVkBz,,,,,,,anonymous,EN,Asia,,Female,,Master's Degree,,"Sciences (Biology, Chemistry, Physics)",,Prefer not say,,Suburban / Town,Asia,"mRNA (e.g., Pfizer, Moderna)",No,Very important,"Yes, I believe they are generally safe",4,"yes, positive before vaccination","Yes, fully vaccinated",,,,,,,,,,,,,,,,,,Unknown,,
6,2024-10-28 07:38:45,2024-10-28 07:39:07,IP Address,195.176.112.199,80,21,False,2024-11-04 06:39:09.116000,R_2IYkiHaJKLieoVc,,,,,,,anonymous,EN,South America,,Female,,Some College,,"Sciences (Biology, Chemistry, Physics)",,Islam,,Suburban / Town,Asia,Not sure,No,Very important,"Yes, I believe they are generally safe",1,Never tested positive,"Yes, fully vaccinated",,,,,,,,,,,,,,,,,,Unknown,,
7,2024-10-28 07:40:14,2024-10-28 07:40:44,IP Address,195.176.112.199,92,29,False,2024-11-04 06:40:45.172000,R_2Qgu4VD7nNAGMLq,,,,,,,anonymous,EN,North America,,Female,,Some College,,"Sciences (Biology, Chemistry, Physics)",,Christianity,,Urban / City,Asia,"Viral vector (e.g., AstraZeneca, Johnson & Johnson)",No,Very important,I am unsure,3,Never tested positive,"Yes, partially vaccinated",,,,,,,Somewhat agree,Neither willing nor unwilling,2,4,5,3,1,6,7,8,,Unknown,,
8,2024-10-28 10:09:41,2024-10-28 10:14:19,IP Address,178.197.211.255,80,277,False,2024-11-04 09:14:24.868000,R_8Bmewlgl4QJvDO1,,,,,,,anonymous,EN,Asia,,Female,,PhD,,"Sciences (Biology, Chemistry, Physics)",,Atheists,,Urban / City,,"mRNA (e.g., Pfizer, Moderna)",No,Very important,"Yes, I believe they are generally safe",4,"yes, positive before vaccination","Yes, fully vaccinated","I believed the vaccine would be effective in preventing illness.,I wanted to return to normal activities.,I am in a high-risk group.,I live with or regularly interact with people in high-risk groups.",,immediatly,4,,,,,,,,,,,,,,Unknown,,
9,2024-10-29 12:24:06,2024-10-29 12:25:25,IP Address,83.78.24.63,92,79,False,2024-11-05 11:25:26.670000,R_2YhJQCUI9nzsfHX,,,,,,,anonymous,EN,Europe,,Prefer not to say,22,Vocational Education,,"Sciences (Biology, Chemistry, Physics)",,Islam,,Rural / Countryside,North America,"Inactivated virus (e.g., Sinovac, Sinopharm)",No,Very important,It depends on the vaccine,4,"yes, positive before vaccination","Yes, partially vaccinated",I am in a high-risk group.,,after a while,2,,,Neither agree nor disagree,Strongly willing,1,2,3,4,5,6,7,8,,Unknown,,
10,2024-11-01 02:09:20,2024-11-06 02:37:28,IP Address,195.176.112.35,100,437288,True,2024-11-06 02:37:29.499000,R_2D6YMUWdRxeTCRT,,,,,47.3989,8.4965,anonymous,EN,Europe,,Female,30,Master's Degree,,"Sciences (Biology, Chemistry, Physics)",,Islam,,Rural / Countryside,Europe(except Switzerland),"mRNA (e.g., Pfizer, Moderna)",Yes,Extremely important,"Yes, I believe they are generally safe",4,"yes, positive before vaccination","Yes, partially vaccinated","I believed the vaccine would be effective in preventing illness.,I wanted to return to normal activities.",,after a while,4,,,Neither agree nor disagree,Somewhat willing,1,2,7,8,5,4,3,6,,Unknown,,
11,2024-11-06 02:49:08,2024-11-06 02:51:47,IP Address,31.10.152.66,100,158,True,2024-11-06 02:51:48.029000,R_8QA9eeqW3stGbzZ,,,,,47.3503,8.5561,anonymous,EN,Europe,,Female,38,Master's Degree,,Engineering/Technology,,Other,,Urban / City,Switzerland,"mRNA (e.g., Pfizer, Moderna)",No,Moderately important,It depends on the vaccine,4,"yes, positive after vaccination","Yes, fully vaccinated",It was recommended by health professionals.,,immediatly,1,,,Somewhat agree,Strongly unwilling,2,5,1,4,3,6,7,8,,Unknown,,
12,2024-11-06 02:48:35,2024-11-06 02:52:34,IP Address,188.154.128.241,100,238,True,2024-11-06 02:52:34.959000,R_8oW7QpiNuy6ONhv,,,,,47.3444,8.7231,anonymous,EN,Asia,,Male,33,Master's Degree,,"Social Sciences (Psychology, Sociology)",,Atheists,,Rural / Countryside,Switzerland,"mRNA (e.g., Pfizer, Moderna),Viral vector (e.g., AstraZeneca, Johnson & Johnson)",No,Extremely important,"Yes, I believe they are generally safe",1,"yes, positive after vaccination","Yes, fully vaccinated","I believed the vaccine would be effective in preventing illness.,other",Felt to have a responsibility in the society in the way that if i try everything prevent getting ill therefore also prevent others to get ill,immediatly,5,,,Neither agree nor disagree,Strongly willing,1,4,6,5,7,2,3,8,,Unknown,,
13,2024-11-06 02:49:02,2024-11-06 03:00:14,IP Address,213.55.240.21,100,672,True,2024-11-06 03:00:15.255000,R_8mrC4trQqf5r6qm,,,,,47.3952,8.4925,anonymous,EN,Asia,,Female,33,Master's Degree,,Other,Law,Christianity,,Urban / City,Switzerland,Not sure,No,Extremely important,It depends on the vaccine,3,"yes, positive without vaccination","No, not vaccinated",,,,,"Concerns about potential side effects.,Low trust in pharmaceutical companies or government officials.,I did not feel I was at high risk of severe illness from COVID-19.,Doubts about the vaccine’s effectiveness.,Personal or religious beliefs against vaccination.",,Neither agree nor disagree,Somewhat unwilling,1,8,2,4,6,5,7,3,Last question is difficult to answer. Ticked it randomly as no of the options resonate to my beliefs. ,Unknown,,
14,2024-11-06 03:19:24,2024-11-06 03:23:23,IP Address,212.51.129.118,100,238,True,2024-11-06 03:23:24.278000,R_81POYdJS1kMxZkd,,,,,47.4243,8.5318,anonymous,EN,Europe,,Male,33,Master's Degree,,Engineering/Technology,,Christianity,,Rural / Countryside,Switzerland,"mRNA (e.g., Pfizer, Moderna),Viral vector (e.g., AstraZeneca, Johnson & Johnson)",No,Extremely important,"Yes, I believe they are generally safe",4,"yes, positive after vaccination","Yes, fully vaccinated","I wanted to return to normal activities.,I live with or regularly interact with people in high-risk groups.,I wanted to be able to travel.",,immediatly,4,,,Somewhat disagree,Somewhat willing,1,6,4,3,5,2,7,8,,Unknown,,
15,2024-11-06 03:29:35,2024-11-06 03:33:23,IP Address,138.190.89.106,100,227,True,2024-11-06 03:33:24.197000,R_87JrORcLQ6lJu8f,,,,,47.0517,8.3303,anonymous,EN,Europe,,Male,37,Master's Degree,,Engineering/Technology,,Christianity,,Suburban / Town,Switzerland,"mRNA (e.g., Pfizer, Moderna),Viral vector (e.g., AstraZeneca, Johnson & Johnson)",No,Extremely important,"Yes, I believe they are generally safe",5,Never tested positive,"Yes, fully vaccinated","I believed the vaccine would be effective in preventing illness.,It was recommended by health professionals.,I wanted to be able to travel.",,immediatly,3,,,Somewhat disagree,Somewhat willing,1,3,7,4,5,2,6,8,,Unknown,,
16,2024-11-06 03:36:50,2024-11-06 03:40:28,IP Address,194.230.144.118,100,217,True,2024-11-06 03:40:29.083000,R_2NqgXXjRvIXbMnD,,,,,47.4554,8.3296,anonymous,EN,Europe,,Female,39,Master's Degree,,Engineering/Technology,,Atheists,,Rural / Countryside,Switzerland,"mRNA (e.g., Pfizer, Moderna),Viral vector (e.g., AstraZeneca, Johnson & Johnson)",No,Very important,"Yes, I believe they are generally safe",3,Never tested positive,"Yes, fully vaccinated","I believed the vaccine would be effective in preventing illness.,I wanted to return to normal activities.,It was recommended by health professionals.,I wanted to be able to travel.",,immediatly,3,,,Somewhat agree,Strongly willing,1,2,6,7,5,3,4,8,,Unknown,,
17,2024-11-06 04:53:10,2024-11-06 04:57:55,IP Address,85.1.20.67,100,285,True,2024-11-06 04:57:56.575000,R_2HS4Rq0h6cwo5RG,,,,,47.4209,8.4055,anonymous,EN,Europe,,Male,43,Bachelor's Degree,,Engineering/Technology,,Christianity,,Rural / Countryside,Switzerland,"mRNA (e.g., Pfizer, Moderna)",No,Extremely important,"Yes, I believe they are generally safe",3,"yes, positive after vaccination","Yes, fully vaccinated","I believed the vaccine would be effective in preventing illness.,I wanted to return to normal activities.,It was recommended by health professionals.,I wanted to be able to travel.",,after a while,4,,,Neither agree nor disagree,Somewhat willing,3,4,1,8,5,2,7,6,,Unknown,,
18,2024-11-06 04:58:11,2024-11-06 05:02:11,IP Address,148.187.204.8,100,239,True,2024-11-06 05:02:11.702000,R_2A2Cenhbeuh3ULn,,,,,47.3821,8.5728,anonymous,EN,Europe,,Male,38,PhD,,Engineering/Technology,,Other,,Rural / Countryside,Europe(except Switzerland),"mRNA (e.g., Pfizer, Moderna),Viral vector (e.g., AstraZeneca, Johnson & Johnson)",No,Extremely important,Definitely yes,5,"yes, positive without vaccination","Yes, fully vaccinated",I believed the vaccine would be effective in preventing illness.,,immediatly,5,,,Strongly disagree,Strongly willing,1,2,3,4,5,6,7,8,,Unknown,,
19,2024-11-06 05:27:37,2024-11-06 05:29:59,IP Address,198.21.21.23,100,142,True,2024-11-06 05:30:00.042000,R_6HRZud5XwKyzIFI,,,,,47.5517,7.5714,anonymous,EN,Europe,,Male,24,Master's Degree,,Engineering/Technology,,Atheists,,Suburban / Town,Switzerland,"mRNA (e.g., Pfizer, Moderna),Viral vector (e.g., AstraZeneca, Johnson & Johnson)",No,Moderately important,It depends on the vaccine,3,"yes, positive without vaccination","No, not vaccinated",,,,,"Concerns about potential side effects.,Low trust in pharmaceutical companies or government officials.,I did not feel I was at high risk of severe illness from COVID-19.,I wanted to wait for more research on long-term effects.",,Somewhat agree,Somewhat unwilling,2,5,4,6,1,7,8,3,,Unknown,,
20,2024-11-06 05:32:57,2024-11-06 05:36:19,IP Address,195.176.112.79,100,201,True,2024-11-06 05:36:19.708000,R_8GUC2yBZJzPesqp,,,,,47.3989,8.4965,anonymous,EN,Europe,,Female,,High School or Equivalent,,"Sciences (Biology, Chemistry, Physics)",,Christianity,,Suburban / Town,Switzerland,"mRNA (e.g., Pfizer, Moderna),Not sure",No,Very important,"Yes, I believe they are generally safe",3,Never tested positive,"Yes, fully vaccinated","I believed the vaccine would be effective in preventing illness.,I wanted to return to normal activities.,Most people around me were getting vaccinated.,I was required to by authorities (e.g., parents, government, employer).",,immediatly,3,,,Neither agree nor disagree,Somewhat unwilling,1,4,3,6,2,5,7,8,,,,
21,2024-11-06 05:32:52,2024-11-06 05:37:55,IP Address,213.55.242.115,100,303,True,2024-11-06 05:37:56.377000,R_2nVXRC12fLYtlIF,,,,,47.3952,8.4925,anonymous,EN,Europe,,Female,20,Bachelor's Degree,,"Sciences (Biology, Chemistry, Physics)",,Atheists,,Suburban / Town,Switzerland,"mRNA (e.g., Pfizer, Moderna)",No,Extremely important,Definitely yes,2,"yes, positive after vaccination","Yes, fully vaccinated","I believed the vaccine would be effective in preventing illness.,I wanted to return to normal activities.,I wanted to be able to travel.",,immediatly,2,,,Neither agree nor disagree,Strongly willing,1,3,2,5,6,4,7,8,,Unknown,,
22,2024-11-06 05:33:37,2024-11-06 05:38:03,IP Address,195.176.112.102,100,265,True,2024-11-06 05:38:04.271000,R_83UniE00fSdPNSf,,,,,47.3989,8.4965,anonymous,EN,Europe,,Female,21,Bachelor's Degree,,"Sciences (Biology, Chemistry, Physics)",,Christianity,,Urban / City,Switzerland,"mRNA (e.g., Pfizer, Moderna),Viral vector (e.g., AstraZeneca, Johnson & Johnson)",No,Extremely important,"Yes, I believe they are generally safe",3,"yes, positive after vaccination","Yes, fully vaccinated","I wanted to return to normal activities.,Most people around me were getting vaccinated.,It was recommended by health professionals.,I wanted to be able to travel.,I was required to by authorities (e.g., parents, government, employer).,other",herd immunity,immediatly,4,,,Somewhat disagree,Strongly willing,1,5,4,2,3,6,7,8,,Unknown,,
23,2024-11-06 05:33:05,2024-11-06 05:38:55,IP Address,195.176.112.43,100,350,True,2024-11-06 05:38:56.383000,R_206tYy2nwfdxQpr,,,,,47.3989,8.4965,anonymous,EN,Europe,,Female,21,Bachelor's Degree,,"Sciences (Biology, Chemistry, Physics)",,Other,,Rural / Countryside,Europe(except Switzerland),"mRNA (e.g., Pfizer, Moderna),Viral vector (e.g., AstraZeneca, Johnson & Johnson)",No,Very important,It depends on the vaccine,3,"yes, positive after vaccination","Yes, fully vaccinated","I believed the vaccine would be effective in preventing illness.,I wanted to return to normal activities.,Most people around me were getting vaccinated.,I live with or regularly interact with people in high-risk groups.",,after a while,3,,,Neither agree nor disagree,Somewhat willing,1,2,3,5,4,6,7,8,,Unknown,,
24,2024-11-06 05:41:59,2024-11-06 05:46:16,IP Address,195.176.112.161,100,257,True,2024-11-06 05:46:16.757000,R_2Dpnua0YVZqG8iB,,,,,47.3989,8.4965,anonymous,EN,Europe,,Male,24,Bachelor's Degree,,"Sciences (Biology, Chemistry, Physics)",,Atheists,,Urban / City,Switzerland,"mRNA (e.g., Pfizer, Moderna),Viral vector (e.g., AstraZeneca, Johnson & Johnson)",No,Very important,Definitely yes,3,Never tested positive,"Yes, fully vaccinated","I believed the vaccine would be effective in preventing illness.,I wanted to return to normal activities.,I live with or regularly interact with people in high-risk groups.,It was recommended by health professionals.,I wanted to be able to travel.",,immediatly,5,,,Strongly disagree,Strongly willing,1,3,8,4,7,2,5,6,,Unknown,,
25,2024-11-06 05:43:44,2024-11-06 05:48:52,IP Address,194.209.125.161,100,307,True,2024-11-06 05:48:52.766000,R_2tEDbmBFJZB6UXD,,,,,47.4818,8.7077,anonymous,EN,Europe,,Male,41,Master's Degree,,Engineering/Technology,,Prefer not say,,Urban / City,Europe(except Switzerland),"mRNA (e.g., Pfizer, Moderna)",No,Extremely important,It depends on the vaccine,5,"yes, positive after vaccination","Yes, fully vaccinated",I believed the vaccine would be effective in preventing illness.,,immediatly,2,,,Neither agree nor disagree,Strongly unwilling,5,3,8,2,1,6,4,7,,Unknown,,
26,2024-11-06 05:53:36,2024-11-06 05:57:30,IP Address,195.176.112.28,100,234,True,2024-11-06 05:57:31.322000,R_8G2hN31czW88jex,,,,,47.3989,8.4965,anonymous,EN,Europe,,Female,21,Bachelor's Degree,,"Sciences (Biology, Chemistry, Physics)",,Christianity,,Rural / Countryside,Switzerland,"mRNA (e.g., Pfizer, Moderna),Viral vector (e.g., AstraZeneca, Johnson & Johnson)",No,Very important,It depends on the vaccine,4,"yes, positive without vaccination","No, not vaccinated",,,,,"Concerns about how quickly the vaccine was developed.,Concerns about potential side effects.,I did not feel I was at high risk of severe illness from COVID-19.,I wanted to wait for more research on long-term effects.,Doubts about the vaccine’s effectiveness.",,Somewhat agree,Somewhat unwilling,2,5,4,3,1,6,7,8,,Unknown,,
27,2024-11-06 05:54:46,2024-11-06 05:58:17,IP Address,185.133.44.254,100,210,True,2024-11-06 05:58:17.596000,R_26zcu0miJeFKV8t,,,,,47.3952,8.4925,anonymous,EN,Asia,,Female,24,Master's Degree,,Engineering/Technology,,Prefer not say,,Suburban / Town,Asia,"Inactivated virus (e.g., Sinovac, Sinopharm)",No,Moderately important,It depends on the vaccine,3,"yes, positive after vaccination","Yes, fully vaccinated",I believed the vaccine would be effective in preventing illness.,,after a while,5,,,Somewhat agree,Neither willing nor unwilling,1,2,4,3,5,6,7,8,,Unknown,,
28,2024-11-06 05:54:55,2024-11-06 05:58:31,IP Address,138.246.3.233,100,216,True,2024-11-06 05:58:31.864000,R_817jSLgDm4WV36K,,,,,48.1722,11.5534,anonymous,EN,Asia,,Male,24,Master's Degree,,Engineering/Technology,,Other,no religion,Urban / City,Asia,Not sure,No,Very important,"Yes, I believe they are generally safe",1,"yes, positive after vaccination","Yes, partially vaccinated","I believed the vaccine would be effective in preventing illness.,Most people around me were getting vaccinated.",,immediatly,1,,,Somewhat disagree,Somewhat willing,2,3,5,4,1,7,8,6,,Unknown,,
29,2024-11-06 05:55:34,2024-11-06 05:59:15,IP Address,117.133.133.112,100,220,True,2024-11-06 05:59:16.356000,R_4rVcmAB9Wzk2P9Q,,,,,39.911,116.395,anonymous,EN,Asia,,Female,24,Master's Degree,,"Social Sciences (Psychology, Sociology)",,Prefer not say,,Urban / City,Asia,"mRNA (e.g., Pfizer, Moderna)",No,Slightly important,It depends on the vaccine,3,"yes, positive after vaccination","Yes, fully vaccinated","Most people around me were getting vaccinated.,It was recommended by health professionals.",,immediatly,3,,,Somewhat disagree,Somewhat willing,2,3,7,8,1,4,6,5,,Unknown,,
30,2024-11-06 05:56:55,2024-11-06 05:59:20,IP Address,171.8.154.17,100,144,True,2024-11-06 05:59:21.093000,R_5rTF9120zH9xBfq,,,,,34.7599,113.6459,anonymous,EN,Prefer not to say,,Male,25,Master's Degree,,Business/Finance,,Prefer not say,,Urban / City,Other,"mRNA (e.g., Pfizer, Moderna),Viral vector (e.g., AstraZeneca, Johnson & Johnson),Inactivated virus (e.g., Sinovac, Sinopharm)",No,Moderately important,"Yes, I believe they are generally safe",2,"yes, positive after vaccination","Yes, fully vaccinated","I believed the vaccine would be effective in preventing illness.,I wanted to return to normal activities.,It was recommended by health professionals.,I wanted to be able to travel.,I was required to by authorities (e.g., parents, government, employer).",,after a while,3,,,Somewhat disagree,Neither willing nor unwilling,2,6,3,1,5,4,7,8,,Unknown,,
31,2024-11-06 05:56:42,2024-11-06 06:00:00,IP Address,128.179.153.235,100,197,True,2024-11-06 06:00:00.929000,R_8D5FGhdaXZT5e5M,,,,,46.5163,6.5802,anonymous,EN,Asia,,Male,24,PhD,,"Sciences (Biology, Chemistry, Physics)",,Buddihism,,Urban / City,Asia,"mRNA (e.g., Pfizer, Moderna),Viral vector (e.g., AstraZeneca, Johnson & Johnson)",No,Very important,"Yes, I believe they are generally safe",4,Never tested positive,"Yes, fully vaccinated","I believed the vaccine would be effective in preventing illness.,I wanted to be able to travel.,I was required to by authorities (e.g., parents, government, employer).",,immediatly,4,,,Somewhat disagree,Somewhat willing,2,5,7,1,3,4,6,8,,Unknown,,
32,2024-11-06 05:57:56,2024-11-06 06:01:29,IP Address,183.173.62.149,100,212,True,2024-11-06 06:01:29.900000,R_4M6BFRgEJxwpQav,,,,,39.911,116.395,anonymous,EN,Asia,,Female,22,Master's Degree,,Business/Finance,,Other,"I don""t have",Urban / City,Asia,"Inactivated virus (e.g., Sinovac, Sinopharm)",No,Very important,"Yes, I believe they are generally safe",4,"yes, positive after vaccination","Yes, fully vaccinated","Most people around me were getting vaccinated.,I was required to by authorities (e.g., parents, government, employer).",,immediatly,4,,,Somewhat disagree,Neither willing nor unwilling,1,3,4,5,6,7,8,2,,Unknown,,
